0	0	0.000001	0.000001	0.000002	0.000003	0.000005	0.000008	0.000011	0.000015	0.000019	0.000023	0.000028	0.000032	0.000036	0.000038	0.000039	0.000038	0.000036	0.000032	0.000028	0.000023	0.000019	0.000015	0.000011	0.000008	0.000005	0.000003	0.000002	0.000001	0.000001	0	0
0	0.000001	0.000001	0.000002	0.000004	0.000006	0.00001	0.000014	0.00002	0.000027	0.000035	0.000044	0.000052	0.00006	0.000066	0.00007	0.000072	0.00007	0.000066	0.00006	0.000052	0.000044	0.000035	0.000027	0.00002	0.000014	0.00001	0.000006	0.000004	0.000002	0.000001	0.000001	0
0.000001	0.000001	0.000003	0.000004	0.000007	0.000011	0.000017	0.000025	0.000036	0.000048	0.000062	0.000078	0.000093	0.000107	0.000118	0.000125	0.000128	0.000125	0.000118	0.000107	0.000093	0.000078	0.000062	0.000048	0.000036	0.000025	0.000017	0.000011	0.000007	0.000004	0.000003	0.000001	0.000001
0.000001	0.000002	0.000004	0.000008	0.000012	0.00002	0.00003	0.000044	0.000061	0.000082	0.000107	0.000133	0.000159	0.000183	0.000202	0.000215	0.000219	0.000215	0.000202	0.000183	0.000159	0.000133	0.000107	0.000082	0.000061	0.000044	0.00003	0.00002	0.000012	0.000008	0.000004	0.000002	0.000001
0.000002	0.000004	0.000007	0.000012	0.00002	0.000032	0.000049	0.000072	0.000101	0.000136	0.000176	0.000219	0.000262	0.000301	0.000333	0.000353	0.00036	0.000353	0.000333	0.000301	0.000262	0.000219	0.000176	0.000136	0.000101	0.000072	0.000049	0.000032	0.00002	0.000012	0.000007	0.000004	0.000002
0.000003	0.000006	0.000011	0.00002	0.000032	0.000051	0.000078	0.000113	0.000159	0.000215	0.000278	0.000346	0.000414	0.000476	0.000526	0.000559	0.00057	0.000559	0.000526	0.000476	0.000414	0.000346	0.000278	0.000215	0.000159	0.000113	0.000078	0.000051	0.000032	0.00002	0.000011	0.000006	0.000003
0.000005	0.00001	0.000017	0.00003	0.000049	0.000078	0.000118	0.000172	0.000242	0.000326	0.000423	0.000526	0.00063	0.000724	0.0008	0.000849	0.000866	0.000849	0.0008	0.000724	0.00063	0.000526	0.000423	0.000326	0.000242	0.000172	0.000118	0.000078	0.000049	0.00003	0.000017	0.00001	0.000005
0.000008	0.000014	0.000025	0.000044	0.000072	0.000113	0.000172	0.000252	0.000353	0.000476	0.000617	0.000768	0.000919	0.001057	0.001168	0.00124	0.001265	0.00124	0.001168	0.001057	0.000919	0.000768	0.000617	0.000476	0.000353	0.000252	0.000172	0.000113	0.000072	0.000044	0.000025	0.000014	0.000008
0.000011	0.00002	0.000036	0.000061	0.000101	0.000159	0.000242	0.000353	0.000496	0.000668	0.000866	0.001078	0.00129	0.001484	0.001639	0.00174	0.001775	0.00174	0.001639	0.001484	0.00129	0.001078	0.000866	0.000668	0.000496	0.000353	0.000242	0.000159	0.000101	0.000061	0.000036	0.00002	0.000011
0.000015	0.000027	0.000048	0.000082	0.000136	0.000215	0.000326	0.000476	0.000668	0.000901	0.001168	0.001454	0.00174	0.002001	0.00221	0.002346	0.002394	0.002346	0.00221	0.002001	0.00174	0.001454	0.001168	0.000901	0.000668	0.000476	0.000326	0.000215	0.000136	0.000082	0.000048	0.000027	0.000015
0.000019	0.000035	0.000062	0.000107	0.000176	0.000278	0.000423	0.000617	0.000866	0.001168	0.001513	0.001885	0.002255	0.002592	0.002864	0.003041	0.003102	0.003041	0.002864	0.002592	0.002255	0.001885	0.001513	0.001168	0.000866	0.000617	0.000423	0.000278	0.000176	0.000107	0.000062	0.000035	0.000019
